id, name, sizeX, sizeY, sizeZ, strainX, strainY, NX, NY, elecX, elecY, elecZ, XY_fig, XZ_fig, data_file
18,thick4voltage-10xsub4.0ysub3.88,40,40,28.8,4.0,3.88,4,4,0,0,-10,./XY_fig/XY_thick4voltage-10xsub4.0ysub3.88-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-10xsub4.0ysub3.88-20000.dat.jpg,./XYZ/XYZ_thick4voltage-10xsub4.0ysub3.88-20000-compress8.npz
19,thick4voltage-10xsub4.0ysub3.92,40,40,28.8,4.0,3.92,4,4,0,0,-10,./XY_fig/XY_thick4voltage-10xsub4.0ysub3.92-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-10xsub4.0ysub3.92-20000.dat.jpg,./XYZ/XYZ_thick4voltage-10xsub4.0ysub3.92-20000-compress8.npz
20,thick4voltage-10xsub4.0ysub3.96,40,40,28.8,4.0,3.96,4,4,0,0,-10,./XY_fig/XY_thick4voltage-10xsub4.0ysub3.96-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-10xsub4.0ysub3.96-20000.dat.jpg,./XYZ/XYZ_thick4voltage-10xsub4.0ysub3.96-20000-compress8.npz
21,thick4voltage-10xsub4.0ysub4.0,40,40,28.8,4.0,4.0,4,4,0,0,-10,./XY_fig/XY_thick4voltage-10xsub4.0ysub4.0-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-10xsub4.0ysub4.0-20000.dat.jpg,./XYZ/XYZ_thick4voltage-10xsub4.0ysub4.0-20000-compress8.npz
22,thick4voltage-8xsub3.8ysub3.8,40,40,28.8,3.8,3.8,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub3.8ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub3.8ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub3.8ysub3.8-20000-compress8.npz
23,thick4voltage-8xsub3.84ysub3.8,40,40,28.8,3.84,3.8,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub3.84ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub3.84ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub3.84ysub3.8-20000-compress8.npz
24,thick4voltage-8xsub3.84ysub3.84,40,40,28.8,3.84,3.84,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub3.84ysub3.84-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub3.84ysub3.84-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub3.84ysub3.84-20000-compress8.npz
25,thick4voltage-8xsub3.88ysub3.8,40,40,28.8,3.88,3.8,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub3.88ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub3.88ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub3.88ysub3.8-20000-compress8.npz
26,thick4voltage-8xsub3.88ysub3.84,40,40,28.8,3.88,3.84,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub3.88ysub3.84-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub3.88ysub3.84-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub3.88ysub3.84-20000-compress8.npz
27,thick4voltage-8xsub3.88ysub3.88,40,40,28.8,3.88,3.88,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub3.88ysub3.88-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub3.88ysub3.88-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub3.88ysub3.88-20000-compress8.npz
28,thick4voltage-8xsub3.92ysub3.8,40,40,28.8,3.92,3.8,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub3.92ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub3.92ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub3.92ysub3.8-20000-compress8.npz
29,thick4voltage-8xsub3.92ysub3.84,40,40,28.8,3.92,3.84,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub3.92ysub3.84-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub3.92ysub3.84-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub3.92ysub3.84-20000-compress8.npz
30,thick4voltage-8xsub3.92ysub3.88,40,40,28.8,3.92,3.88,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub3.92ysub3.88-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub3.92ysub3.88-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub3.92ysub3.88-20000-compress8.npz
31,thick4voltage-8xsub3.92ysub3.92,40,40,28.8,3.92,3.92,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub3.92ysub3.92-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub3.92ysub3.92-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub3.92ysub3.92-20000-compress8.npz
32,thick4voltage-8xsub3.96ysub3.8,40,40,28.8,3.96,3.8,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub3.96ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub3.96ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub3.96ysub3.8-20000-compress8.npz
33,thick4voltage-8xsub3.96ysub3.84,40,40,28.8,3.96,3.84,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub3.96ysub3.84-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub3.96ysub3.84-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub3.96ysub3.84-20000-compress8.npz
34,thick4voltage-8xsub3.96ysub3.88,40,40,28.8,3.96,3.88,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub3.96ysub3.88-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub3.96ysub3.88-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub3.96ysub3.88-20000-compress8.npz
35,thick4voltage-8xsub3.96ysub3.92,40,40,28.8,3.96,3.92,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub3.96ysub3.92-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub3.96ysub3.92-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub3.96ysub3.92-20000-compress8.npz
36,thick4voltage-8xsub3.96ysub3.96,40,40,28.8,3.96,3.96,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub3.96ysub3.96-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub3.96ysub3.96-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub3.96ysub3.96-20000-compress8.npz
37,thick4voltage-8xsub4.0ysub3.8,40,40,28.8,4.0,3.8,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub4.0ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub4.0ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub4.0ysub3.8-20000-compress8.npz
38,thick4voltage-8xsub4.0ysub3.84,40,40,28.8,4.0,3.84,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub4.0ysub3.84-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub4.0ysub3.84-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub4.0ysub3.84-20000-compress8.npz
39,thick4voltage-8xsub4.0ysub3.88,40,40,28.8,4.0,3.88,4,4,0,0,-8,./XY_fig/XY_thick4voltage-8xsub4.0ysub3.88-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-8xsub4.0ysub3.88-20000.dat.jpg,./XYZ/XYZ_thick4voltage-8xsub4.0ysub3.88-20000-compress8.npz
